run_accession	study_accession	secondary_study_accession	sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	library_name	library_strategy	library_selection	read_count	study_title	study_alias	experiment_alias	run_alias	fastq_md5	fastq_ftp	submitted_bytes	submitted_ftp	broker_name	sample_title
ERR15909869	PRJEB88111	ERP171251	SAMEA120577464	ERX15305643	ERA35258662	9823	Sus scrofa		WGS	RANDOM	77721	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1036898_101_MG_LVK_98_SE	webin-reads-DTU_2025_1036898_101_MG_LVK_98_SE	4c01df93a5e5986abeb63d300894e24b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/069/ERR15909869/ERR15909869.fastq.gz	181052438	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15909869/DTU_2025_1036898_101_MG_LVK_98_SE.fq.gz	DTU-GE	DTU_2025_1036898_101_MG_LVK_98_SE
ERR15909872	PRJEB88111	ERP171251	SAMEA120577479	ERX15305646	ERA35258666	9823	Sus scrofa		WGS	RANDOM	104193	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1036881_101_MG_LVK_17_SE	webin-reads-DTU_2025_1036881_101_MG_LVK_17_SE	85a824eb691dfdf25ea6b41e051a79c3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/072/ERR15909872/ERR15909872.fastq.gz	148810969	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15909872/DTU_2025_1036881_101_MG_LVK_17_SE.fq.gz	DTU-GE	DTU_2025_1036881_101_MG_LVK_17_SE
ERR15909887	PRJEB88111	ERP171251	SAMEA120577459	ERX15305661	ERA35258683	9823	Sus scrofa		WGS	RANDOM	66767	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1036901_101_MG_LVK_103_SE	webin-reads-DTU_2025_1036901_101_MG_LVK_103_SE	fdd7d0f4a0e221e011a3876dabfd9ef8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/087/ERR15909887/ERR15909887.fastq.gz	150055017	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15909887/DTU_2025_1036901_101_MG_LVK_103_SE.fq.gz	DTU-GE	DTU_2025_1036901_101_MG_LVK_103_SE
ERR15909892	PRJEB88111	ERP171251	SAMEA120577468	ERX15305666	ERA35258688	9823	Sus scrofa		WGS	RANDOM	70130	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1036895_101_MG_LVK_88_SE	webin-reads-DTU_2025_1036895_101_MG_LVK_88_SE	c94fc97ad4fec30b24d3ffeeedbb3224	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/092/ERR15909892/ERR15909892.fastq.gz	126155312	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15909892/DTU_2025_1036895_101_MG_LVK_88_SE.fq.gz	DTU-GE	DTU_2025_1036895_101_MG_LVK_88_SE
ERR15934725	PRJEB88111	ERP171251	SAMEA120577428	ERX15330389	ERA35260154	9823	Sus scrofa		WGS	RANDOM	5390535	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1036887_100_MG_LVK_60_SE	webin-reads-DTU_2024_1036887_100_MG_LVK_60_SE	972160d164f489df2a8bc0f342e18e6c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/025/ERR15934725/ERR15934725.fastq.gz	22204867444	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15934725/DTU_2024_1036887_100_MG_LVK_60_SE.fq.gz	DTU-GE	DTU_2024_1036887_100_MG_LVK_60_SE
ERR15934890	PRJEB88111	ERP171251	SAMEA120577427	ERX15330518	ERA35260369	9823	Sus scrofa		WGS	RANDOM	4857950	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1036884_100_MG_LVK_48_SE	webin-reads-DTU_2024_1036884_100_MG_LVK_48_SE	ee97f0e4980250d06d4334c2990f901f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/090/ERR15934890/ERR15934890.fastq.gz	13448706928	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15934890/DTU_2024_1036884_100_MG_LVK_48_SE.fq.gz	DTU-GE	DTU_2024_1036884_100_MG_LVK_48_SE
ERR15935081	PRJEB88111	ERP171251	SAMEA120577444	ERX15330709	ERA35260596	9823	Sus scrofa		WGS	RANDOM	9680703	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1036901_100_MG_LVK_103_SE	webin-reads-DTU_2024_1036901_100_MG_LVK_103_SE	2052f95f813341684bfd79d70ef354fa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/081/ERR15935081/ERR15935081.fastq.gz	17474427481	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15935081/DTU_2024_1036901_100_MG_LVK_103_SE.fq.gz	DTU-GE	DTU_2024_1036901_100_MG_LVK_103_SE
ERR15936630	PRJEB88111	ERP171251	SAMEA120577441	ERX15332228	ERA35260689	9823	Sus scrofa		WGS	RANDOM	7520384	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1036899_100_MG_LVK_101_SE	webin-reads-DTU_2024_1036899_100_MG_LVK_101_SE	6222c03059ee0d6c89eaa1bc05bb991b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/030/ERR15936630/ERR15936630.fastq.gz	16141964157	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15936630/DTU_2024_1036899_100_MG_LVK_101_SE.fq.gz	DTU-GE	DTU_2024_1036899_100_MG_LVK_101_SE
ERR15936647	PRJEB88111	ERP171251	SAMEA120577453	ERX15332245	ERA35260696	9823	Sus scrofa		WGS	RANDOM	2974208	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1037644_100_MG_LVK_18_SE	webin-reads-DTU_2025_1037644_100_MG_LVK_18_SE	c1cdc18420a29f537f86be5f255dd5db	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/047/ERR15936647/ERR15936647.fastq.gz	7243870679	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15936647/DTU_2025_1037644_100_MG_LVK_18_SE.fq.gz	DTU-GE	DTU_2025_1037644_100_MG_LVK_18_SE
ERR15938761	PRJEB88111	ERP171251	SAMEA120577431	ERX15334359	ERA35260811	9823	Sus scrofa		WGS	RANDOM	10306174	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1036893_100_MG_LVK_82_SE	webin-reads-DTU_2024_1036893_100_MG_LVK_82_SE	d8581d25175d7ddc5c472662231020b1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/061/ERR15938761/ERR15938761.fastq.gz	22539104303	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15938761/DTU_2024_1036893_100_MG_LVK_82_SE.fq.gz	DTU-GE	DTU_2024_1036893_100_MG_LVK_82_SE
